cell_label,gene_name
Other,IL6R
Other,TNFRSF18
Other,TNFSF13B
DZ,AICDA
DZ,CXCR4
DZ,MYC
DZ,MKI67
DZ,TOP2A
DZ,PCNA
DZ,BACH2
DZ,TCF3
DZ,PAX5
DZ,IRF4
DZ,MEF2B
DZ,FOXO1
LZ,CXCR5
LZ,CD83
LZ,CD86
LZ,MYBL1
LZ,SOCS3
LZ,CD40
T cell contact,CXCL10
T cell contact,CCL5
T cell contact,CCL3
GC_misc,ID2
GC_misc,ID3
EBV,CCL22
EBV,CCL17
EBV,EBI3
EBV,CCL3
EBV,ICAM1
Recruitment,CCR7
B_naive,CD22
B_naive,SELL
B_naive,IL4R
B_naive,TCL1A
B_naive,CR2
B_naive,FOXO1
B_naive,IGHM
B_naive,IGHD
B_mem,CD27
B_mem,CD38
B_mem,FCRL4
B_mem,FCRL5
B_mem,CD44
B_mem,PRDM1
B_mem,IGHA1
B_mem,IGHG1
B_mem,IGHE
B_plasma,PRDM1
B_plasma,XBP1
B_plasma,MZB1
B_age-assoc,TBX21
B_age-assoc,ITGAX
B_age-assoc,IRF4
B_pan,CD19
B_pan,MS4A1
B_med,HLA-DRA
B_med,HLA-DRB1
B_med,AIRE
B_med,IL15
B_med,LTA
B_med,LTB
B_med,PTPRC
B_med,CD5
B_med,SPN
B_med,CD80
B_med,LY6G6C
B_dev,IGLL1
B_dev,MME
B_dev,RAG1
B_dev_thy,CD34
B_dev_thy,VPREB1
B_dev_thy,TYROBP
