cell_label,gene_name
B_pan,CD19
B_pan,MS4A1
B_naive,CD22
B_naive,SELL
B_naive,IL4R
B_naive,TCL1A
B_naive,CR2
B_naive,FOXO1
B_naive,IGHM
B_naive,IGHD
B_mem,CD27
B_mem,CD38
B_mem,FCRL4
B_mem,FCRL5
B_mem,CD44
B_mem,PRDM1
B_mem,IGHA1
B_mem,IGHG1
B_mem,IGHE
B_mem_CR2+,CD1C
B_mem_CR2+,IGHM
B_mem_CR2+,FCRL3
B_mem_CR2+,CR2
B_plasma,PRDM1
B_plasma,XBP1
B_plasma,MZB1
B_age-assoc,TBX21
B_age-assoc,ITGAX
B_med,HLA-DRA
B_med,AIRE
B_med,IL15
B_med,LTA
B_med,LTB
B_med,CD5
DZ,CXCR4
DZ,MYC
DZ,MKI67
DZ,TOP2A
DZ,AICDA
DZ,PCNA
DZ,BACH2
LZ,CXCR5
LZ,CD83
LZ,IRF4
LZ,CD86
LZ,MYBL1
LZ,SOCS3
B_dev,IGLL1
B_dev,MME
B_dev,RAG1
B_dev,PAX5
B_dev,EBF1
B_dev,BCL11B
B_dev_thy,CD34
B_dev_thy,VPREB1
B_dev_thy,TYROBP
